iso3,country,year,growth_annual,wdi_gdp_growth_annual_pct,maddison_growth_annual,wdi_growth_decimal,abs_diff_maddison,abs_diff_wdi
TKM,Turkmenistan,2013,-0.025648117574153417,10.1628450365084,-0.014718939091618921,0.10162845036508401,0.010929178482534496,0.12727656793923742
NGA,Nigeria,1979,-0.05879592428464342,6.75943093519177,0.03679020914652753,0.06759430935191771,0.09558613343117095,0.12639023363656113
NGA,Nigeria,1965,-0.07728211697338061,4.88497683412908,0.03653992429878805,0.048849768341290796,0.11382204127216866,0.1261318853146714
PRY,Paraguay,2002,0.125915189501832,-0.0214043949985694,0.1247400153608389,-0.000214043949985694,0.0011751741409931071,0.1261292334518177
TCD,Chad,1981,-0.11556655467526067,1.0429181025978,-0.11243714459712528,0.010429181025978,0.003129410078135386,0.12599573570123868
QAT,Qatar,1971,-0.02585076273041942,10.0078516626193,0.14012781599878998,0.100078516626193,0.1659785787292094,0.1259292793566124
COG,Congo,2001,-0.08716312013075722,3.80260189913561,0.023155512927706567,0.0380260189913561,0.11031863305846379,0.12518913912211332
TTO,Trinidad and Tobago,1992,-0.024116604406017927,10.092979512969,0.009570581692585733,0.10092979512969001,0.03368718609860366,0.12504639953570795
SOM,Somalia,1979,-0.1748958911911398,-4.98694875669908,,-0.049869487566990806,,0.125026403624149
SYR,Syrian Arab Republic,1961,-0.016550747472203753,10.8330639000002,0.046821805629072344,0.108330639000002,0.0633725531012761,0.12488138647220576
MWI,Malawi,1962,-0.11795167354192859,0.668364743563373,-0.028348355004255588,0.0066836474356337305,0.089603318537673,0.12463532097756232
GEO,Georgia,1992,-0.5728464612177149,-44.899774806083,-0.5897377869911367,-0.44899774806083004,0.016891325773421784,0.12384871315688484
ARE,United Arab Emirates,1986,-0.27319784605420594,-14.9577718663836,-0.29776817239306297,-0.149577718663836,0.02457032633885703,0.12362012739036993
ARE,United Arab Emirates,1974,0.021404891842344398,14.4980412677649,0.1337739959802544,0.14498041267764902,0.11236910413791001,0.12357552083530463
MLI,Mali,1988,-0.014957946248002507,10.8056984434684,-0.019521471745020058,0.10805698443468399,0.004563525497017551,0.1230149306826865
MLI,Mali,1982,0.03891042894531527,-8.40915367636504,-0.07570170841594859,-0.0840915367636504,0.11461213736126385,0.12300196570896567
SYC,Seychelles,1977,0.06104141588215839,-6.19022681541391,0.0643078672327313,-0.0619022681541391,0.0032664513505729076,0.12294368403629749
KHM,Cambodia,1995,-0.023450594644725875,9.90346890117173,0.01598409386497135,0.0990346890117173,0.039434688509697224,0.12248528365644318
SDN,Sudan,1997,0.06144596568065808,18.3126571850273,0.09959753850605146,0.183126571850273,0.03815157282539339,0.12168060616961493
BHR,Bahrain,1987,-0.01750202433269088,10.3990093325466,-0.013756985583212256,0.103990093325466,0.003745038749478624,0.12149211765815687
MOZ,Mozambique,1985,-0.11111462823835083,0.99999672066555,-0.10542872615544852,0.0099999672066555,0.005685902082902317,0.12111459544500633
BWA,Botswana,1965,-0.06289861490795623,5.81395506087105,0.013158084577510998,0.058139550608710504,0.07605669948546723,0.12103816551666674
ZMB,Zambia,1969,-0.12466392215064914,-0.436915823088214,-0.03388174557738299,-0.0043691582308821395,0.09078217657326615,0.120294763919767
TCD,Chad,1977,-0.09642784801248894,2.23462484913821,-0.10077168982984741,0.0223462484913821,0.004343841817358474,0.11877409650387104
SLE,Sierra Leone,1991,-0.09501124077906553,2.35196132919053,-0.10815831390263764,0.0235196132919053,0.013147073123572106,0.11853085407097083
MRT,Mauritania,1975,0.0669806997147866,-5.13437444709423,0.07896422332957886,-0.0513437444709423,0.011983523614792269,0.1183244441857289
COG,Congo,1974,-0.03945631031594132,7.88552081113494,-0.035188176801998594,0.0788552081113494,0.004268133513942729,0.11831151842729072
